username,comment,likes
hlmiyaaimup,fakultas hukum.,1
llhh11,[Sticker] U-UI SERIUS??MANA FH LAGI.SEKALASS UI!!,1
abasketiga,SUMPA UI?,1
bronieskeispi,@zaraa,1
vlvtr_,"ui, fh lg wkwk",1
cila_0915,hukum loh hukum istighfar bangett gua😭😭,1
etttt1y,@heheokbyey @erphaflam🌸💊,1
chiespiders,@yra,1
pr4nata_15,[Sticker] h-hah ui?,1
naourara.zodylsprincess,"aku lebih muda, masa mereka ga ngerti plchan itu ga baik ?? aku masi kecil aja ngerti..",1
luv.lyall,@♡ @a @d!neccଘ*.✧ @alijaak coy,1
urvictriaa,PLEASE INI BENER BENER PARAH,1
elenna_urlouvee,"ui, hukum lgi :)",1
jienayra,miris.,1
haniiwwiiw,kocak sih kalo ga di DO,1
annaa_on,[Sticker] Hi ganteng💜,1
chitatowlays,@au 🍄 ANJIRR?!FH LOHH KIDSSS??FH!!,1
xciwalterego,@piol @06' @🧼,1
raediego4,jurusan hukum? ui? wtffff,1
vannextry._,untung gak jadi di ui 🗿,1
kancing_bow.ran,udah ada tau yang bocorin dari kemarin-kemarin di x,1
faa_taa.a,sekelas ui terus hukum lagii:(,1
deepbluery,padahal mereka sangat amat sadar 10000%,1
sstaravl,@liyy bjir😭,1
latevanillan_90,bg lu gw dukung,1
harukaaw,@goddamn njir key tingali,1
akupersonimud_,@⋆𐙚₊˚⊹♡,1
_faa248,@☆ﾟ. * ✧ƙιɳα✧ʚɞ❁:･☆ﾟ. * ･ @꒰𐙚ྀི angelyn 𐙚ྀི꒱,1
yuuneedmilk,[Sticker] ,1
zaryrz,untung gw sigma sebagai lelaki,1
tnyx_21,@winda @WB😇,1
zachmtf,"nooo padahal masuk fakultas hukum di ui impian gua, nooooo😭😭😭😭",1
z2124118,@🙇🏻‍♀️,1
lynvrra,@viii @who?? @liy4aa4,1
meicrlktlria_,maluek,1
l0vebiy,"udh Hukum di UI lagi, hdhhhhh",1
leolovers12,UNIVERSITAS TERKENAL ini lagi😌,1
io0i.faa,@. @auraa UI LHO UI,1
jeremydaylian,UI UI uiaa uiaa ui uiiauiauaaiaiuua 😭🙏,1
thvlove5,@raraaw sekelas ui ngeriiiiiii,1
shesomee,kampus itu lagi,1
sakyaa09,ga paham materi ini mah fiks,1
phiytagoras,kak tadi aku baca bahkan dosennya pun kena kak.....gila bgtt,1
kemendirian,miris bgt,1
ralplr,"Lop u bg, selalu speak up",1
user98362668,miris bgt zaman skrg,1
_nrfyzka,yang kek gini ga rame heran deh,1
kw0nshiines,@⃟  ⃟ WOI GIMANA INI WOI,1
hongshicii,ga beres adehh,1
yiiielllee,@rereea,1
_n1_sa,buat apa weh masuk hukum kalo kelakuan gitu😭😭😭,1
arzzh_,@Odading @𝒩 @e @bluew1,1
lilithrafeu,bahkan hukum juga tidak aman untuk perempuan,1
lilithrafeu,bahkan hukum juga tidak aman untuk perempuan,1
iyaaiyaa_30,belajar hukum tapi melanggar hukum?,1
baecacaa,"bener bangett bang, semangat terus",1
seanhensan,akhirnya di up😭😭😭,1
mojitowithberry,don't care...,0
anomali7257,"[Sticker] udh fh, ui lgi",0
wty741,"setress, ui lohhhhhhh",0
let_itbe01,Yang paling memberatkan karena mereka Fakultas Hukum … harus DO sih menurut saya. Mau ga mau DO.,0
cerrytalapessy,fakultas hukum loh itu😔,0
chochocob,"dibutuhkan 5 cewe sebagai staff marketing, penempatan jaksel, yg minat dm ajaaa",0
ninotnot4,@gallźdf,0
_ayuad.6,FH ANJIRRRR,0
nyda430,Gelo,0
11enwmy,"mereka FH UI loh, FH di UI lagi.. harusnya mereka melindungi mengasih rasa aman bukannya menciptakan rasa tidak aman 😭",0
davidbammm,aduh bahaya bgt padahal dari FH,0
raninnnnn_,"Padahal mereka anak hukum loh, yg Shrusnyaaa gk dilakukan anak hukum malah mereka lakukan.",0
devienz17,@I’m over crying!,0
ikbenyura,"ui ui... ga heran lah, kasus akseyna aja dibiarin gt aja",0
piolchips,CUIH,0
mutiaraa_380,Dan cancel di semua perusahaaan juga seh. 😏,0
humairaumay75,😂,0
imas.sunarti05,akhlak lbh utama,0
ifhafatimah3,seserem inikah dunia..,0
snxwdrxp__,@Miaa🐾,0
zaa0621,uinilahi,0
pakdey00,angkatan 2023😂🤣,0
mamaojes,Konohaaaaa buat nagis teruss😭😭😭😭,0
__0202_02,KAWALLLLLL,0
yuleha91,"UI sja yg ke UP tpi PT lain bnyak gtu,satu fakultas tpi membuly dan menjelekkan",0
a_rapiyudinsky,🔥🔥🔥,0
windanda06,pentingnya adab dari pada ilmu karna gak semua yg ber ilmu belum tentu punya adab,0
uswakhasa4,tapi barusan liat di google gada yg masuk kriteria masuk DO ? adakah yg bisa ngasi tau maaf,0
puput729,@langloy,0
4ndstlly__,miris,0
fajrin9781,lebih baik tutup universitas...apalagi banyak yang menganggur dll,0
ziyaku3,ui tercoreng 😡,0
mey.and0,sakit semua plis,0
bilah27_,se7,0
bubble.novaa,HUKUM?! HUKUM?! SEKALI LAGI HUKUM?! UI? WTFFF,0
maoouuooam,untung g kuliah,0
bimo.azhar,UI ??????,0
y0owaa,UPPPP,0
sanniiaaaa__,@cherr gilss,0
rahmaw2324,"HARUS DO, sedih bgt gw denger ini😭",0
nur_latifhhh,sekelas UI,0
ayza0305,@Zaxy diskusi kita si yok,0
mama.ola47,"ketika grup chat di buat,akan ada koment koment pelecahan di tulis,tinggal anggota nya welcome apa tidak,klau anggota welcome,akan di koment secara lebih vulgar,tp klau anggota nya tidak welcome,biasa nya stop koment2 tersebut,..jdi tergantung anggota.....mau lanjut k yg vulgar atw di stop melalui teguran,atw dikeluarin Dari grup..",0
tukangxplore,"gilak sih univ ternama, FH juga
miris bgt",0
gerladioo,alamak,0
monikadp28,Harus di DO,0
ran_wonn,Fakultas hukum tapi ngelanggar hukum,0
parikesit32_,bikin jelek kampus,0
perempuanlibraaa,"sudah mampu diberi kesempatan untuk menimba ilmu diuniv terbaik tp tidak di manfaatkan dgn baik, miris",0
picass000,Bahkan dosennya kena 😭,0
user311080021,UI lagi... UI lagi,0
kevin780306,ngk USA banyak show up .kan ada hukum dan kmpus yg mengiring ke Rana hukum .,0
febri_q1,@토마토🍅,0
arebo3412,proses hukum kak jangan hanya di DO saja,0
cecaaa1406,abis unud trbitlah ui,0
matchalatteeeeeeeeeeeee,ternyata univ terbaik itu belum tentu mencetak orang2 berkualitas malah sebaliknya,0
boru.silalahinabu,intinya knp bisa bocor??,0
calledgan,idih ngeri gilaa😭,0
ayah.jaguur,yg kuliah pada punya keranjang ijo..😁,0
uniqq00,@pyaa,0
xhanyfah,@ramdanijarot24,0
algifariilik,"ui emng, so keras",0
aqilnr_,@nafa,0
alpiand_o,[Sticker] ,0
cicilia.c,sakitttt,0
arleneathaliaa,jujur DO aja itu bare minimum jir.,0
shaacyshy,fh? ui....,0
mrmacroteen,@🐬,0
username7711778,Gimik ini,0
bolabolachocochip,@hanaaa,0
ade.vancouver,"Itu baru mahasiswamya, gimana dosennya, gimana lulusannya, bagaimana hakim dan jaksa penuntutnya.",0
indriyanisfr,YAAASSHHH!!! ORANG SAKIT 💔💔💔,0
helenn_eka,eh buset UI loh memalukan,0
american0l0ver,"sebenernya ga UI doang yg kaya gitu, cuma kebetulan UI aja yg ke up",0
cat_addict7,@miaww @kopiwww,0
rakagitong,"[Sticker] ternayat bener kata orang , Adab lebih tinggi dari ilmu",0
scorpio._.000,kronologi nya gimana?,0
ghsnrafi,@reyskima,0
angin_fajar,Bentar lagi kelar malah di cepetin😂,0
noviascr,UI loh ini😳,0
gaga736_,[Sticker] ,0
souwonchi22,makin males denger nama fakultas,0
humanerror2027,ternyata BSI LEBIH BAIK DARIPADA UI😂,0
muhammaddafarafis,@zdnnhfz,0
dd.v__,"hukum cuyyy,miris",0
anaazis41,baru lewat tadi,0
goodgyrrhfy,gue korban KS rasanya triggering banget ngikutin kasus ini…,0
pisces_1382purpleluv,"Disaat yg lain pengen masuk UI tp yg udah masuk malah begini,apa si yg kalian pikirkan",0
angelaleestell,"[Sticker] Oh, univ ini lagi. Byee",0
mrs.m8912,Cih bukan belajar yg bener.,0
diah_srr,inilah kenapa adab harus lebih tinggi dr pada ilmu,0
mdandialfarizi392,😳😳😳,0
nept2001,Suarakan juga dong soal kakek JUSUF KALA itu.,0
allbyvii,merinding banget @mel,0
aldzilkyrs,"ui berisik, gak soal demo nambah lagi ini kasus.",0
.xau18,sakit.,0
y_bel0,@naylaraiaa kakk 😱,0
ali_hakim08,mungkin dlu jga penegak hukum sekarang sama aja cmn ngk nampak 🗿,0
syazwanisaufi19,"Student law sudah tu ah, sadang2 eh",0
apasiigjelss,😳😳😳,0
dahayuisaura,[Sticker] ,0
yo_ndak_tau.11,aku jg tau meskipun kami bukan ank hukum tpi kami tau kok yg kaek gini bukan di ui aja.ngk kepergok aja oknum nya😁.,0
deladelodel,"dunia sudah tua, hampir setiap hari berita tentang pelecehan sexual entah itu dari yg muda sampe tua. semoga kita dan anak cucu kita semua dijauhkan dari hal"" tsb. aamiiin.",0
tiramisyuu221,ui y wak,0
wulanardiansyah3,Berilmu saja tidak cukup kalau tidak beradab.,0
lolot8883,"gitu susah iya masuk ui loh 😭
kok agak lain mahasiswa fakultas hukum 😭",0
davearyza,😂😂😂,0
hnscece,@al,0
abcdefiaaaaaaaaaaaaa,@winna ⭐ sekelas ui🥲,0
jendeuk1161,bahkan dosennya jg kena🙃,0
rivalputrapetir,knapa ga gw aja ya yng masuk ui🙂‍↕️,0
devirahnia,Pinter2 ngeblenger,0
syarifah92081,FH UI loh,0
quitupai05,kuliah tidak menjamin moral yang baik teryata,0
sunflowerrr181,UI? FH? wow ngeriii bgt😭,0
myflower119,bahkan DO pun belum bisa membayar itu.. s,0
yujiinnn29,ini kalo lulus bisa jadi jaksa kah fh?,0
meidasantikaa,@ILham Zowski,0
ahehemwbsj,[Sticker] YOOOWWWW,0
ejayeyeye,"gue juga pernah jd korban pelecehan di grup whatsapp cowo cowo oon bgitu, jd keselnya kerasa smpe sini😞",0
aybarami,@yp🍖,0
haryatimommyal,hmm...kebayang ga kalo mrk nanti jd penegak hukum..jaksa..hakim dll...,0
cisantiiik,FH UI 😳😳😳,0
pemuda_pemberani2000,praktikum hukum ?😂😂😂,0
s.up___,jijik bgt,0
likalikulakii,itu segerombolan itu ga di DO apa sama UI nya ?,0
layarputihceria,Oh ga heran banyak lawyer yg… isi sendiri deh..,1
user73071068549702,"tapi kenapa ya ui banyak anak pejabat atau anak yang punya kedudukan gituuu, tapi gatau deng aku cuma swasta😁",0
bujurlyntang,mual bgttt,0
gemini_17604,@Libraa_014,0
el1a24,fakultas hukum calon pengacara calon hakim 😭,0
komandanbattalion,"aku scroll scroll belum sampe dalem sih, tapi belum nemu siapa yaaa yang ngebongkar sampe ketahuan isi grubnya.. Bagi jawaban ges",0
afterlike1,Baca nya ada gesek2 nya,0
imoll86,UI(udang ikeju) : peduli apa gw yang penting duit ke kami lanjar,0
annsmj,😁😁😁,0
0seic,@mavi original ngahaha,0
likereallyannoying,"ga cuma ui aja pda dasarnya, yg sejauh ini banyak fakultas hukum di kampus lain jg kek gitu sifatnya",0
masadepanku25,@erka,0
ernaernaernawati2,Betul,0
fidelll11,"ui lho ui
terkenal, ko jdi koyo ngene sieh",0
pesawatkertasss__,"jangan lihat buku hanya dari covernya, ternyata bener, tampangnya kelihatan kayak orang baik"", tapi pikirannya diluar prediksi",0
anandita.aulia92,ternyata benar kata bapak gw kalau pendidikan tidak menentukan pola pikir orang-orang,0
jp_winarta,"Itu ga kena pasal kalau di KUHP. Kalau sy jadi ""pelaku"" sy keluar dari UI. Bikin LP laporan pengurus Bem FH yang melakukan perundingan secara masif diluar ketentuan hukum. FH UI harus nya cerdas dan jgn melanggar hukum. Grup Wa itu privasi dan itu hanya berlaku bagi komunitas nya..",0
bonii441,itu kan yang sering demo,0
risfinurjember,[Sticker] 😭,0
skyy23_5,@gerindra @Gibran Rakabuming @Kementerian Sosial RI @Kementerian Ketenagakerjaan RI @Badan Komunikasi Pemerintah RI @Kompas.com,0
agstina.nna,malu-maluin fakultas hukum aja..,0
lenz.ovalia,Omg UI 🥹,0
ilhambar19,wkwkw,0
_icaeuu,ui loh,1
yansm899118,Waduh apa kabar grup gue,0
siluvblack,Parahhhh,0
diansafitri1520,Paling yg di DO yg ga pny bekingan...,0
rohhitagirsang,tahun kemaren Udayana tahun ini UI nanti kampus PTN mana lagi ?? 🤣🤣,0
lily.rianda,Miris 😭,0
call.mefia,@🦊,0
joshryand,Masih kaget? Liat tuh kasus jaksa kemarin aja begitu. gmn mahasiswa 😭 terlepas dimana ya. Emg udah sakit negara ini.,0
gwend_88,"hukum di indo saya ga percaya
saya lebih percaya hukum sosial dari masyarakat.",0
mardhiyahmega,Pinter IQ belum tentu pinter EQ,0
nabhann24,gmn klo jdi penegak hukum🥲,0
ieyieytiey,@n,0
teratairuby,ini yg kerjaanya demo itu kan😅😅,0
januarioiajjsjasja,wajar gk si hukum diindo itu bsuk??🤣,0
street1121,opo to ki Jane @𝐌 𝟑𝟏 𝐑𝐀,0
ernyanayanti,do... jalan yg bijaksana,0
itzneyza,Alhamdulillah Dr dulu sy ga suka dgn UI,0
dillah_0711,setuju di DO,0
jendelasamalas,FATAL.....,0
mustafid.h,ouh yg mlm tadi yaa,0
kusmayadini,Ui dong,0
coklatchacha24,ku kira kampus anak baik baik,0
lestaarii0,@ir.ra @rzkiaa,0
dayyyana23,Sakjiw,0
kallistaadel686,"tpi hrd terima dari top university ka , mau ada kasus apa juga , yg penting TOP UNIVERSITY",0
nanalterr,:(,0
maloow29,gilaaaaaaaaaaaaaaaaa huft,0
praldero,sebenernya kuliah itu bagus cuma yang seperti ini oknum' yang tidak bagus. mungkin ada kesimpulan lainnya?,0
nviacyi,hadeh,0
prince.fann,😁,0
dandinson16,"Dari awal blm ada yg jelasin pelaku itu melanggar uu apa pasal brp? Kalo pelecehan verbal pelaku melontarkan kata2nya ke pelaku secara langsung seperti cat calling, nah kalo ini kasusnya apa? Ngomongin org dibelakang kan?",0
nuel8480,ga heran,0
this.is_yatim,"UI lagi, keinget kasusnya akseyna",0
glngf21_,lg sagapung bgt,0
namasaya_lalaa,@gerindra,0
mariana.mbl,"Asli malu""in banget sekelas UI loh.",0
dinnnnssssssss,FH LOH FHHHH!,0
hasnaini1973,menjijik kan,0
nitatedja2,kebayang kan kalo mereka sdh lulus dan dan jadi praktisi hukum akan seperti apa🥺,0
sitiaminah839782,😮😮,0
aldnsyhh_31,ini yang mau jadi penerus pejabat,0
helosunflower,@,0
my_akun_gue5,"up komen gue plis
ga cuma di ui di univ lain banyak cuma ga di up aja
yg kayak mereka banyak
stay safe girls",0
90sinmyhead,lelah.,0
utaminingsih8831,black list,0
cimolenaklho,"betul, selain itu kalo kasus ini ga ada hukuman yg berat, bisa jd kedepannya nanti kalo ada kasus yg lebih besar malah hukumannya ga sesuai karna kasus ""kecil"" kek gini aja dianggap sepele sama mereka. disclaimer aku ga mengganggap kasus ini kecil tp kita jg ga bisa menutup mata kan kalo ada kejahatan yg lebih besar lainnya yg hukumannya belum setimpal",0
sempolayamnyam2,emang paling bener hukum UT aja. serba onlen. gakenal teman sekelas.😭😭,0
kalna25_,"Udah ga heran, sebenernya masih banyak yg kaya gini cuma belum kebongkar aja 😂😂",0
veronikaarsitasar,"pelajaran terpenting yg perlu diperhatikan sejak dini adalah pelajaran tata krama etika supaya lulusan generasi muda kita tdk hanya berilmu pendidikan tetapi berIlmu etikanya dan adabnya...pintar bisa masuk Univ Negeri terkenal tapi kalau tdk beradab jatuhnya jadi koruptor,jadi penjahat berkedok orang pintar dan kejahatannya bisa lebih mengerikan...Bapak Menteri Pendidikan tolong dong sistem pendidikan kita diperbaiki dong...jangan hanya woow nilsinya harus rata2 tinggi persaingan tdk sehat jadinya...tapi mental dan adabnya tdk diperhatikan.",0
niniiiiyquuu0,zg sanggup biasa bisanya dong bgtu,0
mywidipy,@dilla,0
hello.tha09,"UI Top 5 besar loh?? bisa² nya ada kasus kyk gini, apa lg jurusan hukum",0
jigoku2chome,wkwk kalian kaget?,0
nb206165,liat sebagian chatnya aja udah merinding apalagi KLO liat semua isinya 🥺,0
elysian_pilgrim,calon presiden calon jaksa ini 😁,0
marmai_12,tutup aja kampusnyaa,0
avv.lvyy,,0
mttluvv,malu ih,0
genzstore25,kemaren UIN sekaranh UI :),0
rellexanj,Dosen ampe dibawa2 gitu loh,0
ispdy,karakter akan diuji ketika berkaitan dgn uang dan kekuasaan/power,0
simin.r24,fakultas hukum loh 😡,0
raradyn2,HUKUM LOH INI HUKUM!!!,0
pgbtdoanggg,ui😂,0
candysweet5550,Ayo kawal sampe di DO,0
bejho_rahayu,"kok bisa bocor chatnya😳...
anak qw lg kuliah lg Dan qw ada di LN ,sumpah miriss bangetttttt dg kasus ini.",0
ra.buns,FH : fakultas harassment,0
vivyppioo,"when ya gw jg sakit bgt bjir sama 2 anak ui,dr fk sama feb...",0
wishingwise,Duh fh ui lagi prasaan kmren2 ada kasusnya yg as blm bresss udh muncul lgi ni yg bru :’,0
usercuties03,"HUKUM LOH, HUKUMMMM, NANGIS BANGET😭",0
1408_222,@mieayam's @virus helmet @Syf🦩,0
ghostata19,fakultas hukum red flag bgt dmn mn,0
aaprlsr,benci bangett😭,0
demonicult_,adab dulu baru pendidikan,0
kimm1_6,@ᥴey 𐙚: ternyata bener yaa pendidikan tidak menentukan pola pikir manusia..,0
xjsnrjmm,real mending binus,0
baayy.uu,si 96 world,0
angeldepe,g pnting,0
user1107200717,yuk masuk gundar,0
mhmdmaskur_,Kampus kuning itu lagi,0
haiiiwawaaa,fakultas hukum tp ga ngerti hukum aneh,0
pundakluhut,miris,0
vinafarra,tindakannya tidak bermoral.....tapi yg jd pertanyaan yg menyebar siapa ya??,0
katalogracunshopee,tau di x,0
alwaysmine100,stress,0
nandaqisthi95,Waduh,0
titlexo,[Sticker] ,0
mwilftea,"semoga dari sini, banyak korban yg berani speak up, mau kamu cowo ataupun cewe, ayo speak up!",0
kaiyazaa,FH??? UI?!!!,0
saepulanwar8238,ada anak pokoci kata y,0
ndaahh_lianti002,Astaghfirullah Bener Madrasah yg Pertama Adalah Keluarga...,0
xxxdye_,baru lewat threads,0
vouzyouve,[Sticker] fakultas hukum,0
muftimzhfr,@Uppss gimana ni dul,0
viliaevani,🥀💔,0
yulisadr8,"Bayangin FH loh,dimasa depan mereka adalah praktisi hukum yang mungkin akan menangani masalah hukum masyarakat dg kasus Ks,sedangkan mereka aja pernah melakukan hal itu😭",0
o_0y.6,Siall,0
thiaminehcl_,Req UHO kendari,0
caraurbae,@mbi,0
ddiiivvvvaaaa,@Wahyu Hidayatullah,0
sahdra.jati,qualitas makin menurun karena sistim ujian masuk yg seperti sekarang,0
roninnn460,katanya beberapa kasus lain ada yg g keungkap ya?,0
user70039181409076,bayangkan mereka nantinya menjadi hakim/jaksa/pengacara 🥺,0
desisk5,"gacuman di perkuliahan loh,jenjang smp aja adaa yang kaya gini .",0
haiko254,😹,0
qdpiee_,kagettt bgt baca beritanya,0
dump.vy,ui tiap tahun ada aja kasus nya,0
gamistory_,"plis ikutin ka, gue ga percaya proses2 yg dibilang bapaknya semalem itulah.. HRS BGT DI DO! HARUS",0
maxsoed,kalo kasus yang univ Budi luhur tuh kasus apa yakk??,0
reoxyde5,"kronologi nya apa toh??
minimal kasih kronologi lah,",0
firaa818_,echa ini korban apa pelaku si msh bngung bgt kasus nya,0
idk.v07,Whats going on guys,0
annontmy74j,"kalo ngomong yg lengkap, pelcehannya kaya gimana? jangan sepotong2 biar org jelas",0
sugarlatteeme_,@blarblarblarrrr 🙏🙏,0
knnderjo00yy,😭,0
aypngstiii,@raditaaa,0
esitayahigus,HUKUM IH😭,0
rhaypurba2007,makanya yg di kedepankan etika daripada pendidikan,0
lumbabiru17,maafin dong kasian mreka,0
hooleesheettt,@starnaa @Runee,0
mitatourguidelicensehpi,Harus diberi sangsi dan diserahkan orgtuanya !,0
realmadridfansindo,"Alhamdulillah gue lulusan UI yg ada ""N"" nya tapi",0
adanamaadarasa0,yaampun mahasisswa,0
martania_zuriyati,"dulu blm kayak gininya 😅😅, kak aku pernah Lo jadi bahan ghibah cowok cowok yg hampir sama kayak kasus ini 🥺🥺🥺.",0
kubil822425,TEBAK GEN ?,0
570ma1,apakah bisa dipidana?,0
nonscript1,"hukum= yang ngebayar di adili, miris",0
saampiss,😁😁😁,0
nonameyouunderstand,😁😁😁,0
agustine1784,ga bisa berkata kata lagi weiii.....,0
tasyah_senja,pantes hukum di Indonesia gak bener....,0
suukajeno,kenapa kebanyakan pelaku ks tuh dr hukum dahh? terus fungsi mereka ambil jurusan hukum tp melakukan ks tuh apa anjay?,0
rhestyiyes,"TADI MALAM NONTON LIVE LAMA, YG DIKELUARKAN PELAKUNYA 2 ORANG DOANG DARI BELASAN 😭",0
pitniayuu,Sekelas UI lohh sangat disayangkan,0
simashine,🥺,0
ana971455,"miris..
semoga kedepannya ranah hukum di Indonesia semakin membaik beserta para tokohnya",0
hi.iniselly,angkatan 23 astagaaa dek dekk,0
ttndwy,kacauu kacauu😭,1
mfdlh25,Kata temen gw kalo ga kuliah nanti susah nyari kerja. Alhamdulillah gw lulusan smk sampe sekarang ga kerja. Tapi bisa main micin di crypto 🗿,0
nadiaidrs_,parah bangettt,0
doesntmttrs,haduhhh bagaimana mau sakses😭,0
lils0ftiess,stress,0
atsumuw,itu lah mengapa ilmu tidak bisa berjalan tanpa ADAB,0
miilla.__,@nvl,0
pitaminccccc,"gila tremor bgt bacanya, mirisss 😔",0
niitnoot76,Org hukum yg ga tau hukum🥺,0
kiyyy_97,kampus problematik,0
berryslock,@Nobody,0
8092920_,"ya namanya juga hukum, mau kerjaan mau mahasiswa nya sama aja",0
anotherversion0fme3,adab dulu baru ilmu,0
sitilteam,Up,0
r.rini6,"benci liat kampus2 kyk bgni, bkn ny prestasi malahhh🥺",0
ananda_pangestu,bayangin klo mereka menangani hukum di negeri ini 😩😭😭😭,0
pudidie_,"isi Twitter aku ini semua di pagi ini, potongan live sidang nya, banyak yg bilang, anak2 ini di backing sama Mami Mami nya",0
maryana9256,semalem rame life sampai jam 2 pagi ...life tiktok kasusnya,0
mabellebre29,Malu malu in FH,0
rievvass,yallah generasi kita masa depam kira huhu,0
cute_pixels6,😏😏😏,0
sambalgoorengkentang,"chatnya aja bahas uu, berarti besok kalo jd lawyer udah biasa mempermainkan uu dong",0
makfuadd,"gmau bawa bawa nama kampus tadinya, CUMA UI LAGI UI LAGI",0
andirahman040,gilaaa.... mengerikan sekali😏,0
putri.hanisya.win5,"aku nonton live nya sampai menjelang subuh njir. harus ""diadili"" dulu memang dihadapan mahasiswa mahasiswi serta korban.",0
marcellusion,@sᴀɴᴅʀɪɴᴀ,0
wiwi802,kuliah tpi ah sudahlah,0
2am.u.and.i,stop normalisasi pelecehan verbal ga senonoh itu yang dianggap cm candaan dan lucu lucuan🙏🏻,0
anggellica26,Pantes banyak orang hukum bad attitude,0
ernilaaa_,"langsung aja DO, kalo ga kelewatan sih",0
jenmagdalena,🙌🙌🙌🙌,0
deviaaart,DO plis,0
aliza_nfs,@ajghysnw_,0
dewi_anggraini93,😁😁😁,0
hy_adlll,"smalem ngikutin live sidang nya sampe jam 1 an lebih, sampe ketiduran, akhir nya gmn woy stlh yg 14 turun???😭",0
omah.kenari.malio,ngrasa patah hati sih lht generasi harapan bangsa spt ini 🥺💔,0
li.ayy,ui lg ui lg,0
mayza0193,UI lagi ...UI lagi ....jurusan Hukum lagi ....weseeeh ...yg katanya univ top 1 ternyataaaa.......,0
kkepiiin,🥰🥰🥰,0
username0msa,n,0
username0msa,@,0
apapundeh0,Ui loh?😭,0
cantikdanwangiii,sick,0
user240203046,"bnr"" brengseeeekkkkk",0
putt_anne,Ini yang ketauan apalagi diluar sana lebih lebih🥲,0
patriciaririn,ini br hukum gmn klo fakultas lain gmn yah?🥺 sekelas hukum aja bs gini gmn yg fak lain? mdh2an ga ada yah,0
orobosu,awkwkwk downfall UI nih😹,0
lesdeuxmagot,sampai dosen pun kena kak.,0
allzii.al,@Dik🅰️🆒  Pye konsep i,0
angel.lil,@Ava @jkyieee @Dita23,0
zet.iann,"ui lagi ui lagi, mana fakultas itu lagi. selain kampus top, kampusnya juga top bgt kalo buat kasus😹",0
nyai_kanjeng_sri,"udah bener, hukum rusak
yg merusak orang hukum sendiri",0
kenamarahmamak,kampus ampas,0
udreammmm,@t,0
_scpbryan,edan,0
tantintunayeayy,nama hukum udah gada harga dirinya bgt😔,0
haamchea,😂😂😂,0
indanawal,triggered,0
fixmyrights,"Pasti bukan gua doang yang b aja kalau denger ""mahasiswa UI"".Menurut pendapat pribadi gue, Selama ini UI mendapat glorifikasi berlebihan aja.",0
khadafisuzuki,"di kampus cwe juga ada tuh kasus lebih parah malah cuma ga viral aja, mau nyebut nama kampusnya takut kena pidana",0
silvianggraini790,Miris.....,0
acun2626,😳,0
firefly.rampage90,sekelas ui loh masa gitu😂,0
ebbybyby2,harus!,0
zali7788ak,ui ui ui ui 🤣🤣🤣🤣,0
moen_53,"Yaaa Allah ... bagaimana ini 🥺🥺🥺🥺, tak boleh lagi di terima kerja di instansi instansi negara ... harus di woro woro ini 🥺🥺🥺",0
gibbeum26,@Ilyase @Dewdepe,0
si_cntkk26,@sifa ♊ @sahmita ⭐ @🧿 @sititiabo09,0
parkdwiceye,🤣,0
manise_31,semalam nonton live nya sampe 3jam 😓 ikut gregetan,0
gaegajul,"selain kampus UI kampus lain juga sama ko, cuma emng nggak ke ekspose aja dan yg ketauan cuma dari mereka aja.",0
wulanzmadeline,justru yang mengenal hukum jadi mudah melanggar,0
garagarahujan,Rame karena ui aja inimah,0
angkasatusampai0__,@botolminum @08_pebriiiiiii @ToppingDunia💫 @Silv,0
febrianwinoto,@Riska Palupi393 @Israa,0
rismayaristi08,😳😳😳,0
jansae50,DEEEEEEEYYYYMMMNNNNNN!!,0
tingkiwingki09_,Shock bgt anjirr😭,0
i7_.72,FH?? UI?? SAKIIIT SIH,0
0oceannflwss,@piyo,0
bumaaastore,tiap tahun ada aja kasusnya memang kampus problematik😂,0
charxmole,nonton live nya dimna?,0
eka2398,haruuuusss... DO,0
baeblue_19,keseeel bgt 😭😭😭😭,0
g4rrr3,[Sticker] ,0
sidipaaaaaaa,VB,0
luluinsg,calon penegak hukum Indonesia🥺,0
moonayangs_,pantes hukum d indo morat marit.,0
proburtaste,ilmu klo ga dibarengin adab ya gini,0
sokzen,Up,0
sokzen,UI ? Wedehel,0
hhsanna,bahkan ada nama dosen wanita🥺,0
kangendoang_,@Amelia Philsi bahas,0
hitowangry,padahal fakultas merah putih fiat jisticia itu keren loh sarjana hukum tapi ada aja orang kaya gini,0
dexmienn,geloo fh lohhh 😳,0
mychemicalerotica,UI lagii UI lagi,0
rahmaudo,"ui problematik ternyata, wajib di beri sanksi",0
boy74963,BEM ui lagii coll🤣nda sepkup,0
meer_shoppu,Orang biasa aja ga se fulgar ini 😳,0
pantara.39,@Kuromi chan fh ui 😭,0
szeyash,@🐾 @🎐 @🐚💤 @isha @🌙 @𝓒ath💭 @rosellyn @rRoOr🫧,0
cheezenoy,SICK BGT,0
sukamatchaja0,@Bosmuda🔥,0
dxxtaa_,sick,0
needlove200,top 1 begini yaa😁. bnyk kasusnya 😬,0
evadamayanti078,gak akan di D O kak karena mereka anak orang kaya atau anak pejabat yg punya Power,0
ghil4l._,😨😨,0
auroramors,PLEASE UTAMAKAN ADAB SEBELUM ILMU,0
validhel,coba UIN 🗿,0
roekdj27,anak2 penjabat smuaa kah?,0
unfortunatecat,@kikywijaya983 @artingwijaya2021,0
